grade	unitId	lessonId	title	status	stepCount
G2	u1	u1l1	Count Up & Count Back	topic:count-on	?
G2	u1	u1l2	Doubles!	fallback-points	3
G2	u1	u1l3	Make a 10	fallback-points	3
G2	u1	u1l4	Number Families	topic:number-bond	?
G2	u2	u2l1	Big Numbers	topic:place-value	?
G2	u2	u2l2	Different Ways to Write Numbers	topic:place-value	?
G2	u2	u2l3	Bigger or Smaller?	topic:compare	?
G2	u2	u2l4	Skip Counting	topic:skip-count	?
G2	u3	u3l1	Adding Bigger Numbers	topic:regroup-add	?
G2	u3	u3l2	Taking Away Bigger Numbers	topic:regroup-sub	?
G2	u3	u3l3	Add Three Numbers	topic:regroup-add	?
G2	u3	u3l4	Math Stories	fallback-points	6
G2	u4	u4l1	Adding Really Big Numbers	topic:regroup-add	?
G2	u4	u4l2	Taking Away Really Big Numbers	topic:regroup-sub	?
G2	u4	u4l3	Close Enough Counts!	fallback-points	4
G2	u5	u5l1	All About Coins	topic:money	?
G2	u5	u5l2	Count Your Coins	topic:money	?
G2	u5	u5l3	Dollars and Cents	topic:money	?
G2	u5	u5l4	Save, Spend and Give	fallback-points	5
G2	u6	u6l1	Tally Marks	topic:tally	?
G2	u6	u6l2	Bar Graphs	topic:bar-graph	?
G2	u6	u6l3	Picture Graphs	topic:pictograph	?
G2	u6	u6l4	Line Plots	fallback-points	4
G2	u7	u7l1	How Long Is It?	topic:measure	?
G2	u7	u7l2	What Time Is It?	topic:time	?
G2	u7	u7l3	Hot, Cold and Full	topic:measure	?
G2	u8	u8l1	What is a Fraction?	topic:fraction	?
G2	u8	u8l2	Halves, Fourths and Eighths	topic:fraction	?
G2	u8	u8l3	Which Piece is Bigger?	topic:fraction	?
G2	u9	u9l1	Flat Shapes	topic:shape	?
G2	u9	u9l2	Solid Shapes	topic:shape	?
G2	u9	u9l3	Mirror Shapes	topic:fraction	?
G2	u10	u10l1	Equal Groups	topic:array	?
G2	u10	u10l2	Adding the Same Number	topic:array	?
G2	u10	u10l3	Sharing Equally	topic:number-bond	?
G1	g1u1	g1-u1-l1	Quick Looks	topic:ten-frame	?
G1	g1u1	g1-u1-l2	Count Forward	topic:count-on	?
G1	g1u1	g1-u1-l3	Count Backward	topic:count-on	?
G1	g1u1	g1-u1-l4	Skip Count by 2s, 5s, and 10s	topic:skip-count	?
G1	g1u1	g1-u1-l5	One More and One Less	topic:count-on	?
G1	g1u1	g1-u1-l6	Ten More and Ten Less	topic:number-line-add	?
G1	g1u1	g1-u1-l7	Order Numbers	topic:count-on	?
G1	g1u1	g1-u1-l8	Compare Numbers	topic:compare	?
G1	g1u2	g1-u2-l1	Groups of Ten	topic:place-value	?
G1	g1u2	g1-u2-l2	Tens and Ones	topic:place-value	?
G1	g1u2	g1-u2-l3	Numbers to 120	topic:place-value	?
G1	g1u2	g1-u2-l4	Represent Numbers	topic:place-value	?
G1	g1u3	g1-u3-l1	Add Within 20	topic:count-on	?
G1	g1u3	g1-u3-l2	Subtract Within 20	topic:count-on	?
G1	g1u3	g1-u3-l3	Doubles and Near Doubles	fallback-points	6
G1	g1u3	g1-u3-l4	Make 10	topic:ten-frame	?
G1	g1u3	g1-u3-l5	Fact Families and Word Problems	topic:number-bond	?
G1	g1u4	g1-u4-l1	Add Tens and Ones	topic:place-value	?
G1	g1u4	g1-u4-l2	10 More and 10 Less	topic:count-on	?
G1	g1u4	g1-u4-l3	Add Multiples of 10	fallback-points	6
G1	g1u4	g1-u4-l4	Add Tens to Two-Digit Numbers	topic:count-on	?
G1	g1u4	g1-u4-l5	Tens and Ones Word Problems	topic:place-value	?
G1	g1u5	g1-u5-l1	2D Shapes — Identify and Describe	topic:shape	?
G1	g1u5	g1-u5-l2	3D Shapes — Identify and Describe	topic:shape	?
G1	g1u5	g1-u5-l3	Shape Attributes and Sorting	topic:shape	?
G1	g1u5	g1-u5-l4	Compose and Recognize 2D Shapes	topic:shape	?
G1	g1u5	g1-u5-l5	Equal Parts — Halves and Fourths	topic:money	?
G1	g1u6	g1-u6-l1	Measuring with Non-Standard Units	topic:measure	?
G1	g1u6	g1-u6-l2	Understanding Units of Length	topic:measure	?
G1	g1u6	g1-u6-l3	Comparing Measurements	topic:measure	?
G1	g1u6	g1-u6-l4	Describing Length	topic:measure	?
G1	g1u6	g1-u6-l5	Telling Time	topic:time	?
G1	g1u7	g1-u7-l1	Sorting and Organizing Data	topic:tally	?
G1	g1u7	g1-u7-l2	Picture Graphs	topic:pictograph	?
G1	g1u7	g1-u7-l3	Bar-Type Graphs	topic:bar-graph	?
G1	g1u7	g1-u7-l4	Drawing Conclusions from Data	fallback-points	6
G1	g1u8	g1-u8-l1	Earning Income	fallback-points	6
G1	g1u8	g1-u8-l2	Goods and Services	fallback-points	6
G1	g1u8	g1-u8-l3	Spending and Saving	fallback-points	6
G1	g1u8	g1-u8-l4	Charitable Giving	fallback-points	6
K	ku1	ku1l1	Counting to 10	fallback-points	3
K	ku1	ku1l2	Quick Look	fallback-points	3
K	ku1	ku1l3	Counting to 20	fallback-points	3
K	ku1	ku1l4	Count to 20 — Review	topic:count-on	?
K	ku1	ku1l5	Read and Represent 11–20	fallback-points	3
K	ku1	ku1l6	Counting Strategies	topic:count-on	?
K	ku1	ku1l7	Quick Look: Subitize	fallback-points	3
K	ku2	ku2l1	One More, One Less	topic:count-on	?
K	ku2	ku2l2	Compare Sets	topic:compare	?
K	ku2	ku2l3	Compare Numbers	topic:compare	?
K	ku2	ku2l4	Compose & Decompose	topic:number-bond	?
K	ku2	ku2l5	More, Less, and Equal	topic:compare	?
K	ku2	ku2l6	One More / One Less — Review	topic:count-on	?
K	ku3	ku3l1	Adding Numbers	topic:count-on	?
K	ku3	ku3l2	Subtracting Numbers	topic:count-on	?
K	ku3	ku3l3	Word Problems	fallback-points	3
K	ku3	ku3l4	Explain Thinking	fallback-points	3
K	ku3	ku3l5	Story Problems: Join & Separate	fallback-points	3
K	ku3	ku3l6	Explain Your Math	fallback-points	3
K	ku4	ku4l1	Count Forward by Ones	topic:count-on	?
K	ku4	ku4l2	Count by Tens	topic:skip-count	?
K	ku4	ku4l3	Count from Any Number	fallback-points	3
K	ku4	ku4l4	Missing Numbers in Patterns	topic:compare	?
K	ku5	ku5l1	Flat Shapes (2D)	topic:shape	?
K	ku5	ku5l2	Solid Shapes (3D)	topic:shape	?
K	ku5	ku5l3	Sides & Corners	topic:shape	?
K	ku5	ku5l4	Sort & Create Shapes	topic:shape	?
K	ku6	ku6l1	Comparing Length & Height	topic:measure	?
K	ku6	ku6l2	Comparing Weight & Capacity	topic:measure	?
K	ku6	ku6l3	Ordering by Size	topic:measure	?
K	ku6	ku6l4	Measurable Attributes	topic:measure	?
K	ku7	ku7l1	Sort Into Groups	fallback-points	3
K	ku7	ku7l2	Build and Read Picture Graphs	topic:pictograph	?
K	ku7	ku7l3	Read Picture Graphs	topic:pictograph	?
K	ku7	ku7l4	Compare Data	fallback-points	3
K	ku8	ku8l1	Earning Money & Jobs	fallback-points	3
K	ku8	ku8l2	Wants vs Needs	fallback-points	3
K	ku8	ku8l3	Identify Coins	topic:money	?
K	ku8	ku8l4	Compare Coins	topic:money	?
